oldname, newname
40 Glocc-5-crop-0.jpg,1.jpg
Aanchal Sabharwal-26-crop-0.jpg,2.jpg
Aarif Rahman-19-crop-1.jpg,3.jpg
Aaron Kwok-18-crop-0.jpg,4.jpg
Aaron Sanders-no makeup2-crop-0.jpg,5.jpg
Aaron Taylor-Johnson-22-crop-0.jpg,6.jpg
Aaron Taylor-Johnson-27-crop-1.jpg,7.jpg
Abdoul Mbaye-15-crop-0.jpg,8.jpg
Abhay Deol-40-crop-0.jpg,9.jpg
Ace Hood-42-crop-1.jpg,10.jpg
Adam Hicks-17-crop-0.jpg,11.jpg
Adam Rothenberg-2-crop-0.jpg,12.jpg
Adaora Akubilo-50-crop-0.jpg,13.jpg
Adharvaa-4-crop-0.jpg,14.jpg
Adharvaa-41-crop-0.jpg,15.jpg
Adil Hussain-19-crop-0.jpg,16.jpg
Adil Hussain-25-crop-0.jpg,17.jpg
Aditya Pancholi-47-crop-1.jpg,18.jpg
Adolphe Menjou-30-crop-0.jpg,19.jpg
Adolphe Muzito-11-crop-0.jpg,20.jpg
Adrian Lester-10-crop-0.jpg,21.jpg
Aeneas Chigwedere-17-crop-1.jpg,22.jpg
Aerzte-20-crop-0.jpg,23.jpg
african american child-74-crop-1.jpg,24.jpg
african american girl-88-crop-0.jpg,25.jpg
Agata Buzek-2-crop-0.jpg,26.jpg
Agnes Bruckner-24-crop-0.jpg,27.jpg
Agnes Jaoui-18-crop-0.jpg,28.jpg
Agnieszka Kaczorowska-20-crop-0.jpg,29.jpg
Ahmadou Ahidjo-11-crop-0.jpg,30.jpg
Ahmed Best-4-crop-0.jpg,31.jpg
Aidan Gillen-28-crop-0.jpg,32.jpg
Aimee Teegarden-26-crop-0.jpg,33.jpg
Aindrita Ray-40-crop-0.jpg,34.jpg
Aishwarya Arjun-19-crop-0.jpg,35.jpg
Aishwarya Arjun-37-crop-0.jpg,36.jpg
Aishwarya Rai-9-crop-0.jpg,37.jpg
Aissata Tall Sall-10-crop-0.jpg,38.jpg
Ajaz Khan-13-crop-0.jpg,39.jpg
Ajit Khan-29-crop-0.jpg,40.jpg
Ajit Singh Balla-36-crop-0.jpg,41.jpg
Aju Varghese-face5-crop-0.jpg,42.jpg
Ajuma Nasenyama-27-crop-0.jpg,43.jpg
Akebono-19-crop-0.jpg,44.jpg
Akiko Ikuina-1-crop-0.jpg,45.jpg
Akina Aoshima-8-crop-0.jpg,46.jpg
Akio Otsuka-4-crop-0.jpg,47.jpg
Akira Kamiya-2-crop-0.jpg,48.jpg
Akissi Delta-4-crop-1.jpg,49.jpg
Akriti Kakkar-44-crop-2.jpg,50.jpg
Akshara Haasan-indian5-crop-0.jpg,51.jpg
Akshara Menon-16-crop-0.jpg,52.jpg
Akshaye Khanna-28-crop-0.jpg,53.jpg
Alain Saury-17-crop-0.jpg,54.jpg
Alan Tam-4-crop-0.jpg,55.jpg
Alan Tudyk-1-crop-0.jpg,56.jpg
Alanna Ubach-17-crop-0.jpg,57.jpg
Albert Brooks-3-crop-0.jpg,58.jpg
Alek Wek-34-crop-0.jpg,59.jpg
Aleksandra Kisio-20-crop-0.jpg,60.jpg
Alena Shishkova-13-crop-0.jpg,61.jpg
