model,dataset,label,ACC_var,TPR_var,TNR_var,FPR_var,FNR_var,NPP_var,PP_var,PPP_var
AGR,FaceARG,age,0.027508286803246,0.04901817632459435,0.032679885006334626,0.03267988500633462,0.04901817632459435,0.007393873515742428,nan,0.036139860149414484
AGR,FaceARG,gender,0.0,0.0712125087378847,0.0712125087378847,0.07121250873788472,0.07121250873788472,0.015811522591703764,0.015811522591703764,0.07445412020916253
AGR,FaceARG,race,0.0017420877869518037,0.03088301181798209,0.001884550671799045,0.0018845506717990457,0.03088301181798209,0.0007292774682931578,0.013662780273659069,0.006743886141951034
AGR,Fairface,age,0.01902931001824833,0.05439939942161389,0.026913412375126462,0.026913412375126462,0.054399399421613905,0.0064390501153879275,0.013927932553433374,0.030472812978555523
AGR,Fairface,gender,0.0,0.04342903209436946,0.04342903209436946,0.04342903209436948,0.04342903209436948,0.003712183845974739,0.003712183845974739,0.04639872139699118
AGR,Fairface,race,0.0008188785964950384,0.0764793696572562,0.010882630685146676,0.010882630685146676,0.0764793696572562,0.006761094244970636,0.011247903074803743,0.01597145059424778
AGR,UTKFace,age,0.009198444130150814,0.06482419847075141,0.011302758059743881,0.01130275805974388,0.06482419847075138,0.00264542731646786,0.010638558901159424,0.01879413104496031
AGR,UTKFace,gender,0.0,0.006934720684654484,0.006934720684654484,0.0069347206846544825,0.0069347206846544825,0.0015972712388472108,0.0015972712388472108,0.008443086443739525
AGR,UTKFace,race,0.0022922201211524316,0.07303742768925804,0.0049595167572618806,0.00495951675726188,0.07303742768925803,0.0013735125824179903,0.021622282708171747,0.021284940972335777
AGRnew,Fairface,age,0.021437879956517095,0.03678919407019613,0.029838195135778574,0.029838195135778567,0.03678919407019613,0.005913931579213006,0.013307535907076541,0.034043298084137745
AGRnew,Fairface,gender,0.0,0.012102871920636266,0.012102871920636266,0.012102871920636273,0.012102871920636273,0.0005655009081679747,0.0005655009081679747,0.01397225260483812
AGRnew,Fairface,race,0.003005192034718507,0.05767072468235272,0.01435769069725756,0.014357690697257569,0.05767072468235272,0.006475818169490509,0.015313485532939337,0.016738178146772007
AGRnewft1,Fairface,age,0.01519528273491056,0.02793981005960689,0.01125047576799659,0.01125047576799659,0.027939810059606898,0.005526230469746318,0.06477579420899165,0.014988874450654329
AGRnewft1,Fairface,gender,0.0,0.06499227269289322,0.06499227269289322,0.0649922726928932,0.0649922726928932,0.01429161120208923,0.01429161120208923,0.06948044369777094
AGRnewft1,Fairface,race,0.005551609585044333,0.0220586334766298,0.006759768371838072,0.006759768371838072,0.022058633476629792,0.0016385654370801033,0.015314330225428932,0.012115285969021495
AGRnewft2,Fairface,age,0.01369555258481089,0.020945485624122923,0.007550908242903625,0.007550908242903626,0.02094548562412293,0.006117194235694322,0.03571742783004148,0.010047138205535523
AGRnewft2,Fairface,gender,0.0,0.03698603011564768,0.03698603011564768,0.036986030115647675,0.036986030115647675,0.008104402204810422,0.008104402204810422,0.04106131377748344
AGRnewft2,Fairface,race,0.006255641893450651,0.02208183852821711,0.00767548646897045,0.007675486468970453,0.022081838528217098,0.0015798231999931893,0.019057767425904114,0.01261189472627148
AGRnewft3,Fairface,age,0.01259770310439467,0.030415515901194838,0.008804168905022322,0.008804168905022324,0.030415515901194838,0.005480719228983318,0.04449989432025449,0.013053132401626586
AGRnewft3,Fairface,gender,0.0,0.03527107083697226,0.03527107083697226,0.03527107083697224,0.03527107083697224,0.0066796936356318835,0.0066796936356318835,0.039082749579996134
AGRnewft3,Fairface,race,0.005446751110737169,0.019843660061861598,0.006996658955653863,0.006996658955653862,0.019843660061861595,0.0017716869786835031,0.009693120405658966,0.012672350854528034
Lightface,FaceARG,age,0.02976238546162896,0.04821767652302135,0.032192227055137544,0.03219222705513755,0.04821767652302135,0.01680857292455939,nan,0.03829407939651505
Lightface,FaceARG,gender,0.0,0.008605336258906967,0.008605336258906967,0.00860533625890697,0.00860533625890697,0.011247541633026112,0.011247541633026112,0.0005827553636356067
Lightface,FaceARG,race,0.0017603307948794015,0.0026145007432333933,0.002904231360996547,0.0029042313609965484,0.002614500743233395,0.00037815812080741677,0.015158685889106476,0.0032652744279792066
Lightface,Fairface,age,0.027508286803246,0.04901817632459435,0.032679885006334626,0.03267988500633462,0.04901817632459435,0.007393873515742428,nan,0.036139860149414484
Lightface,Fairface,gender,0.0,0.0712125087378847,0.0712125087378847,0.07121250873788472,0.07121250873788472,0.015811522591703764,0.015811522591703764,0.07445412020916253
Lightface,Fairface,race,0.0017420877869518037,0.03088301181798209,0.001884550671799045,0.0018845506717990457,0.03088301181798209,0.0007292774682931578,0.013662780273659069,0.006743886141951034
