model,dataset,label,fairness_def,var
AGRnew,Fairface,gender,ACC_var,0.0
AGRnewft1,Fairface,gender,ACC_var,0.0
AGRnewft2,Fairface,gender,ACC_var,0.0
AGRnewft3,Fairface,gender,ACC_var,0.0
AGRnew,Fairface,gender,NPP_var,0.0005655009081679747
AGRnew,Fairface,gender,PP_var,0.0005655009081679747
AGRnewft2,Fairface,race,NPP_var,0.0015798231999931893
AGRnewft1,Fairface,race,NPP_var,0.0016385654370801033
AGRnewft3,Fairface,race,NPP_var,0.0017716869786835031
AGRnew,Fairface,race,ACC_var,0.003005192034718507
AGRnewft3,Fairface,race,ACC_var,0.005446751110737169
AGRnewft3,Fairface,age,NPP_var,0.005480719228983318
AGRnewft1,Fairface,age,NPP_var,0.005526230469746318
AGRnewft1,Fairface,race,ACC_var,0.005551609585044333
AGRnew,Fairface,age,NPP_var,0.005913931579213006
AGRnewft2,Fairface,age,NPP_var,0.006117194235694322
AGRnewft2,Fairface,race,ACC_var,0.006255641893450651
AGRnew,Fairface,race,NPP_var,0.006475818169490509
AGRnewft3,Fairface,gender,NPP_var,0.0066796936356318835
AGRnewft3,Fairface,gender,PP_var,0.0066796936356318835
AGRnewft1,Fairface,race,TNR_var,0.006759768371838072
AGRnewft1,Fairface,race,FPR_var,0.006759768371838072
AGRnewft3,Fairface,race,FPR_var,0.006996658955653862
AGRnewft3,Fairface,race,TNR_var,0.006996658955653863
AGRnewft2,Fairface,age,TNR_var,0.007550908242903625
AGRnewft2,Fairface,age,FPR_var,0.007550908242903626
AGRnewft2,Fairface,race,TNR_var,0.00767548646897045
AGRnewft2,Fairface,race,FPR_var,0.007675486468970453
AGRnewft2,Fairface,gender,NPP_var,0.008104402204810422
AGRnewft2,Fairface,gender,PP_var,0.008104402204810422
AGRnewft3,Fairface,age,TNR_var,0.008804168905022322
AGRnewft3,Fairface,age,FPR_var,0.008804168905022324
AGRnewft3,Fairface,race,PP_var,0.009693120405658966
AGRnewft2,Fairface,age,PPP_var,0.010047138205535523
AGRnewft1,Fairface,age,TNR_var,0.01125047576799659
AGRnewft1,Fairface,age,FPR_var,0.01125047576799659
AGRnew,Fairface,gender,TPR_var,0.012102871920636266
AGRnew,Fairface,gender,TNR_var,0.012102871920636266
AGRnew,Fairface,gender,FPR_var,0.012102871920636273
AGRnew,Fairface,gender,FNR_var,0.012102871920636273
AGRnewft1,Fairface,race,PPP_var,0.012115285969021495
AGRnewft3,Fairface,age,ACC_var,0.01259770310439467
AGRnewft2,Fairface,race,PPP_var,0.01261189472627148
AGRnewft3,Fairface,race,PPP_var,0.012672350854528034
AGRnewft3,Fairface,age,PPP_var,0.013053132401626586
AGRnew,Fairface,age,PP_var,0.013307535907076541
AGRnewft2,Fairface,age,ACC_var,0.01369555258481089
AGRnew,Fairface,gender,PPP_var,0.01397225260483812
AGRnewft1,Fairface,gender,NPP_var,0.01429161120208923
AGRnewft1,Fairface,gender,PP_var,0.01429161120208923
AGRnew,Fairface,race,TNR_var,0.01435769069725756
AGRnew,Fairface,race,FPR_var,0.014357690697257569
AGRnewft1,Fairface,age,PPP_var,0.014988874450654329
AGRnewft1,Fairface,age,ACC_var,0.01519528273491056
AGRnew,Fairface,race,PP_var,0.015313485532939337
AGRnewft1,Fairface,race,PP_var,0.015314330225428932
AGRnew,Fairface,race,PPP_var,0.016738178146772007
AGRnewft2,Fairface,race,PP_var,0.019057767425904114
AGRnewft3,Fairface,race,FNR_var,0.019843660061861595
AGRnewft3,Fairface,race,TPR_var,0.019843660061861598
AGRnewft2,Fairface,age,TPR_var,0.020945485624122923
AGRnewft2,Fairface,age,FNR_var,0.02094548562412293
AGRnew,Fairface,age,ACC_var,0.021437879956517095
AGRnewft1,Fairface,race,FNR_var,0.022058633476629792
AGRnewft1,Fairface,race,TPR_var,0.0220586334766298
AGRnewft2,Fairface,race,FNR_var,0.022081838528217098
AGRnewft2,Fairface,race,TPR_var,0.02208183852821711
AGRnewft1,Fairface,age,TPR_var,0.02793981005960689
AGRnewft1,Fairface,age,FNR_var,0.027939810059606898
AGRnew,Fairface,age,FPR_var,0.029838195135778567
AGRnew,Fairface,age,TNR_var,0.029838195135778574
AGRnewft3,Fairface,age,TPR_var,0.030415515901194838
AGRnewft3,Fairface,age,FNR_var,0.030415515901194838
AGRnew,Fairface,age,PPP_var,0.034043298084137745
AGRnewft3,Fairface,gender,FPR_var,0.03527107083697224
AGRnewft3,Fairface,gender,FNR_var,0.03527107083697224
