model,label,fairness_def,var_avg
AGR,age,ACC_var,0.018578680317215
Lightface,age,ACC_var,0.026135882035026
FAR,age,ACC_var,0.0356101597460524
Fairface,age,ACC_var,0.00607890116706261
AGR,gender,ACC_var,0
Lightface,gender,ACC_var,0
FAR,gender,ACC_var,0
Fairface,gender,ACC_var,0
AGR,race,ACC_var,0.00161772883486642
Lightface,race,ACC_var,0.00199896499687658
FAR,race,ACC_var,0.0325049709576463
Fairface,race,ACC_var,0.00168893840217815
AGR,age,FNR_var,0.0560805914056532
Lightface,age,FNR_var,0.0493671485076958
FAR,age,FNR_var,0.107629489439174
Fairface,age,FNR_var,0.0364389632459219
AGR,gender,FNR_var,0.0405254205056362
Lightface,gender,FNR_var,0.0358391956736807
FAR,gender,FNR_var,0.149381593770272
Fairface,gender,FNR_var,0.000342941626196467
AGR,race,FNR_var,0.0601332697214987
Lightface,race,FNR_var,0.0236456980885576
FAR,race,FNR_var,0.117211668112289
Fairface,race,FNR_var,0.015285379434875
AGR,age,FPR_var,0.0236320184804016
Lightface,age,FPR_var,0.030710624171386
FAR,age,FPR_var,0.109439948506034
Fairface,age,FPR_var,0.00523403543723888
AGR,gender,FPR_var,0.0405254205056362
Lightface,gender,FPR_var,0.0358391956736807
FAR,gender,FPR_var,0.149381593770272
Fairface,gender,FPR_var,0.000342941626196467
AGR,race,FPR_var,0.00590889937140251
Lightface,race,FPR_var,0.00363621318947678
FAR,race,FPR_var,0.11235068560447
Fairface,race,FPR_var,0.00205706120111247
AGR,age,NPP_var,0.0054927836491994
Lightface,age,NPP_var,0.00945939833383844
FAR,age,NPP_var,0.0119708473049732
Fairface,age,NPP_var,0.00335672963155472
AGR,gender,NPP_var,0.00704032589217521
Lightface,gender,NPP_var,0.0118791537987145
FAR,gender,NPP_var,0.0255463137361505
Fairface,gender,NPP_var,0.000115203799924708
AGR,race,NPP_var,0.00295462809856059
Lightface,race,NPP_var,0.00119400230286226
FAR,race,NPP_var,0.00282865178107648
Fairface,race,NPP_var,0.000817471842825204
AGR,age,PP_var,0.0122832457272963
Lightface,age,PP_var,nan
FAR,age,PP_var,0.0156003721242534
Fairface,age,PP_var,0.0262630109178511
AGR,gender,PP_var,0.00704032589217521
Lightface,gender,PP_var,0.0118791537987145
FAR,gender,PP_var,0.0170320126822146
Fairface,gender,PP_var,0.000115203799924708
AGR,race,PP_var,0.0155109886855448
Lightface,race,PP_var,0.0351889197180354
FAR,race,PP_var,0.0555952684254401
Fairface,race,PP_var,0.0320309187298822
AGR,age,PPP_var,0.0284689347243101
Lightface,age,PPP_var,0.0355185691513443
FAR,age,PPP_var,0.109070906420457
Fairface,age,PPP_var,0.016739435549677
AGR,gender,PPP_var,0.0430986426832977
Lightface,gender,PPP_var,0.0349316987610878
FAR,gender,PPP_var,0.147722194526216
Fairface,gender,PPP_var,0.00350450319634021
AGR,race,PPP_var,0.0146667592361781
Lightface,race,PPP_var,0.00884196535989181
FAR,race,PPP_var,0.1146735415627
Fairface,race,PPP_var,0.0118125365213178
AGR,age,TNR_var,0.0234694658300026
Lightface,age,TNR_var,0.0645850011293521
FAR,age,TNR_var,0.0680811874454257
Fairface,age,TNR_var,0.0257251801007963
AGR,gender,TNR_var,0.0196563630126436
Lightface,gender,TNR_var,0.0926626251279331
FAR,gender,TNR_var,0.134534578344575
Fairface,gender,TNR_var,0.000969805247490375
AGR,race,TNR_var,0.00624879293446834
Lightface,race,TNR_var,0.0560413038318443
FAR,race,TNR_var,0.0593649203311036
Fairface,race,TNR_var,0.0180090508199777
AGR,age,TPR_var,0.0558137581384622
Lightface,age,TPR_var,0.0789665203275017
FAR,age,TPR_var,0.0780373241310207
Fairface,age,TPR_var,0.04409670080589
AGR,gender,TPR_var,0.0196563630126436
Lightface,gender,TPR_var,0.0926626251279331
FAR,gender,TPR_var,0.0896910388323561
Fairface,gender,TPR_var,0.0106359589628847
AGR,race,TPR_var,0.0507104326965825
Lightface,race,TPR_var,0.0762652398994604
FAR,race,TPR_var,0.0646453875041902
Fairface,race,TPR_var,0.0215409269764893
